yasmAjjAyate,yasmAt+jAyate
so'pi,saH+api
svapiteva,svapitA+iva
sUryodBavo vahniH,sUryodBavaH+vahniH
SIto Bavati,SItaH+Bavati
nEva,na+eva
svaprakftestyAgaM,svaprakfteH+tyAgaM
vEvaSyatastasya,vEvaSyataH+tasya
ko nahi,kaH+nahi
nEva,na+eva
tad BavadBiH,tat+BavadBiH
SarIre'smin,SarIre+asmin
nizprARo na,nizprARaH+na
putro mAtA,putraH+mAtA
vayasA'pi,vayasA+api
anyAnizwacikIrzurnA,anyAnizwacikIrzuH+nA
so'nyApaSakunaM,saH+anyApaSakunaM
nAsikAmapi,nAsikAm+api
kftrimatAmupASrayet,kftrimatAm+upASrayet
vAcyo Bavati,vAcyaH+Bavati
vartamAno vinASyatAm,vartamAnaH+vinASyatAm
ya AnandaH,yaH+AnandaH
sa laByatAm,saH+laByatAm
jagatyatra,jagati+atra
jyAyAMsaSca,jyAyAMsaH+ca
jyezWA laByAH,jyezWAH+laByAH
syustatra,syuH+tatra
ko'pyantaH,ko'pi+antaH
pUrtistAsAM,pUrtiH+tAsAM
AdAvante,AdO+ante
saduHKAstA,saduHKAH+tAH
atastAsu,ataH+tAsu
kasyacijjantoH,kasyacit+jantoH
duHKinastasya,duHKinaH+tasya
tannIqaM,tat+nIqaM
sparSo jAtiviSezasya,sparSaH+jAtiviSezasya
evAsti,eva+asti
sAro BagavadASrayaH,sAraH+BagavadASrayaH
BUyo BUyaH,BUyaH+BUyaH
sarvo,sarvaH+
nEvApnoti,nEva+Apnoti
BAgyaSAlyeva,BAgyaSAlI+eva
SrIrapi,SrIH+api
kaYcid darSayate,kaYcit+darSayate
bahirAgacCan,bahiH+AgacCan
tad gfhItvA,tat+gfhItvA
bahirniHsftya,bahiH+niHsftya
susTirA BUtvA,susTirAH+BUtvA
yad liKitaM,yat+liKitaM
tad atra,tat+atra
suhfd apfcCat,suhft+apfcCat
sahfd taM,sahft+taM
kalaho yatra,kalahaH+yatra
prakftiniyamAgre,prakftiniyama+agre
yato hi,yataH+hi
DEryAdudDarate,DEryAt+udDarate
nAtra,na+atra
bahiH eva,bahiH+eva
gurUBaktA na,gurUBaktAH+na
BUyAMso,BUyAMsaH+
vidvacCradDAlavo'pi,vidvacCradDAlavaH+api
jAto,jAtaH+
vedavyAso gaReSena,vedavyAsaH+gaReSena
bfhad mahABAratam,bfhat+mahABAratam
sa eva,saH+eva
BavennityaM,Bavet+nityaM
Danino Danam,DaninaH+Danam
yaSastasya,yaSaH+tasya
