aM gaRAya,am+gaRAya
aM BOmaM BOmaM SaM SaM SanEScaram,am+BOmam+BOmam+Sam+Sam+SanEScaram
aM hfdbIjAdi,am+hfdbIjAdi
aMke'DArayat,aMke+aDArayat
aMgarakzakASca,aMgarakzakAH+ca
aMtato jIvanayoniyatnasyEva,aMtataH+jIvanayoniyatnasya+eva
aMSajApi,aMSajA+api
aMSajo'pi,aMSajaH+api
aMSata ityanantarametat,aMSataH+iti+anantaram+etat
aMSato bADasya,aMSataH+bADasya
aMSamapi,aMSam+api
aMsAByAmeva,aMsAByAm+eva
aaM mahArAo,aam+mahArAo
akacpratyayA'vyavahitapUrvatvAsyaBAvAtprakftitvAnupapattiH,akacpratyayA+avyavahitapUrvatvAsyaBAvAt+prakftitvAnupapattiH
akaYcatpratyayAnA'vyavahitottarapUrvatvABAvAtprakftitvAnupapattiH,akaYcat+pratyayAna+avyavahitottarapUrvatvABAvAt+prakftitvAnupapattiH
akaTayacca,akaTayat+ca
akapadatvaM akArottarakakArottaraatvam,akapadatvam+akArottarakakArottaraatvam
akampanaM prahastaYca,akampanam+prahastam+ca
akaruRAH KalvISvarA,akaruRAH+Kalu+ISvarAH
akartfkatvopapatteriti,akartfkatvopapatteH+iti
akarmako mA,akarmakaH+mA
akalpanAditi,akalpanAt+iti
akalpanAnnoktaBramAttaTAviDAnvayaboDApattiriti,akalpanAt+na+uktaBramAt+taTAviDa+anvayaboDa+ApattiH+iti
akalpanepi,akalpane+api
akasmAtऱAtrO,akasmAt+ऱAtrO
akasmAdekasmAt,akasmAt+ekasmAt
akasmAnmaraRena,akasmAt+maraRena
akasmAdeva,akasmAt+eva
akArakatvAditi,akArakatvAt+iti
akAraRakupitA'si,akAraRakupitA+asi
akArAdivisargAntA bIjena,akArAdivisargAntAH+bIjena
akArpaRyaYcAspfhA,akArpaRyam+ca+aspfhA
akAryakAraRAnumAnamiti,akAryakAraRAnumAnam+iti
akAryametacca mayAdya,akAryam+etat+ca+mayA+adya
akAryaSatErnIcajanasevanErduzkaropAyasahasrEH,akAryaSatEH+nIcajanasevanEH+duzkaropAyasahasrEH
akAlavAtAvalImiva,akAlavAtAvalIm+iva
akAlasanDyASoBAM viBratI,akAlasanDyASoBAm+viBratI
akAlinAM ca,akAlinAm+ca
akAle'tiprasaNgAcca,akAle+atiprasaNgAt+ca
akiMcitkAratvAditi,akiMcitkAratvAt+iti
akiYcano'yaM,akiYcanaH+ayaM
akiYcitkaratvAditi,akiYcitkaratvAt+iti
akiYcitkarameva,akiYcit+karam+eva
akuSalamAlA'sya,akuSalamAlA+asya
akuSalamAlyA'pi,akuSalamAlyA+api
akftaM vAkyahInaM vAkyahInaM ca,akftam+vAkyahInam+vAkyahInam+ca
akftakatvAditi,akftakatvAt+iti
akftadUtasamprezaRamaviditAgamanamamitrasambanDinaM kaTaM kaTaM nu,akftadUtasamprezaRam+aviditAgamanam+amitrasambanDinam+kaTam+kaTam+nu
akftAtmadurAvApaM brahmalokamavApnuhi,akftAtmadurAvApam+brahmalokam+avApnuhi
akrItvEva,akrItvA+eva
akroDano BUtvA,akroDanaH+BUtvA
aklinnamavivarRaM,aklinnam+avivarRaM
akluptatvAditi,akluptatvAt+iti
aklfptaga,aklfptaH+ga
akzajanyatvenAkzaM,akzajanyatvena+akzaM
