aM gaRAya,am+gaRAya
aM hfdbIjAdi,am+hfdbIjAdi
aMke'DArayat,aMke+aDArayat
aMgarakzakASca,aMgarakzakAH+ca
aMSajApi,aMSajA+api
aMSajo'pi,aMSajaH+api
aMSato bADasya,aMSataH+bADasya
aMSamapi,aMSam+api
aMsAByAmeva,aMsAByAm+eva
aaM mahArAo,aam+mahArAo
akaTayacca,akaTayat+ca
akapadatvaM akArottarakakArottaraatvam,akapadatvam+akArottarakakArottaraatvam
akartfkatvopapatteriti,akartfkatvopapatteH+iti
akarmako mA,akarmakaH+mA
akalpanAditi,akalpanAt+iti
akalpanepi,akalpane+api
akasmAtऱAtrO,akasmAt+ऱAtrO
akasmAdekasmAt,akasmAt+ekasmAt
akasmAnmaraRena,akasmAt+maraRena
akasmAdeva,akasmAt+eva
akArakatvAditi,akArakatvAt+iti
akAraRakupitA'si,akAraRakupitA+asi
akArAdivisargAntA bIjena,akArAdivisargAntAH+bIjena
akAryakAraRAnumAnamiti,akAryakAraRAnumAnam+iti
akAlavAtAvalImiva,akAlavAtAvalIm+iva
akAlasanDyASoBAM viBratI,akAlasanDyASoBAm+viBratI
akAlinAM ca,akAlinAm+ca
akiMcitkAratvAditi,akiMcitkAratvAt+iti
akiYcano'yaM,akiYcanaH+ayaM
akiYcitkaratvAditi,akiYcitkaratvAt+iti
akuSalamAlA'sya,akuSalamAlA+asya
akuSalamAlyA'pi,akuSalamAlyA+api
akftakatvAditi,akftakatvAt+iti
akrItvEva,akrItvA+eva
akroDano BUtvA,akroDanaH+BUtvA
aklinnamavivarRaM,aklinnam+avivarRaM
akluptatvAditi,akluptatvAt+iti
aklfptaga,aklfptaH+ga
akzajanyatvenAkzaM,akzajanyatvena+akzaM
akzatatvAditi,akzatatvAt+iti
akzatameveti,akzatam+eveti
akzatErmudrayA,akzatEH+mudrayA
akzannamImadanteti,akzannamImadanta+iti
akzapAtrantanutreRa,akzapAtram+tanutreRa
akzamatayA'sO,akzamatayA+asO
akzamAlAM pustakAdi,akzamAlAm+pustakAdi
akzamo jAtaH,akzamaH+jAtaH
akzayyaM ca,akzayyam+ca
akzaramAtramapi,akzaramAtram+api
akzARAM patanAt,akzARAm+patanAt
akzOhiRIpramARantu,akzOhiRIpramARam+tu
akzRoragre,akzRoH+agre
aKaRqABAvagarBatvAnna,aKaRqABAvagarBatvAt+na
agadacca,agadat+ca
agado'yaM,agadaH+ayaM
agamyAgamaneneti,agamyAgamanena+iti
agastya iti,agastyaH+iti
agastyantatprasAdataH,agastyam+tatprasAdataH
agastyaBrAtaraM natvA,agastyaBrAtaram+natvA
agAdvimucya,agAt+vimucya
agfhItasaNketeti,agfhItasaNketA+iti
agfhItasaNketoce,agfhItasaNketA+Uce
agfhRAcca,agfhRAt+ca
agnAvapi,agnO+api
agniM trimUrttO,agnim+trimUrttO
agnikAryakaTanaM nAma,agnikAryakaTanam+nAma
agnikAryyaM pravakzyAmi,agnikAryyam+pravakzyAmi
agnikAryyAdikaTanaM nAma,agnikAryyAdikaTanam+nAma
agnijalAdAvapi,agnijalAdO+api
agnito gatayA,agnitaH+gatayA
agnitrayamasti,agnitrayam+asti
agnidagDo'BUt,agnidagDoH+aBUt
agnidevamAjYApayat,agnidevam+AjYApayat
agnineti,agninA+iti
agniparIkzAyA api,agniparIkzAyAH+api
agnimagnIti,agnimagnI+iti
agnimaRqapamAsAdya,agnimaRqapam+AsAdya
agnimattvasyeti,agnimattvasya+iti
agnimAnIya,agnim+AnIya
agnirjyotIti,agnirjyoti+iti
agnirmUrdDeti,agnirmUrdDA+iti
agnivyApto DUmaH,agnivyAptaH+DUmaH
agnisAmAnyasyAvivAdAspadatvena,agnisAmAnyasya+avivAdAspadatvena
agnihotramiti,agnihotram+iti
agnIzomAByAM svAhA,agnIzomAByAm+svAhA
agneraBimuKIBUtAn,agneH+aBimuKIBUtAn
agneriti,agneH+iti
agnerjananapUjAdi,agneH+jananapUjAdi
agnerDvajAdipatitAH,agneH+DvajAdipatitAH
agnernetratraye,agneH+netratraye
agnyaNgArAdirAdi,agnyaNgArAdiH+Adi
agnyAdIti,agnyAdi+iti
agnyAhitavannizWAyAH,agnyAhitavat+nizWAyAH
agrago Bavati,agragaH+Bavati
agracUlABiDo mataH,agracUlABiDaH+mataH
agrajameva,agrajam+eva
agraRIrDImatAM,agraRIH+DImatAM
agrato muKamaRqapam,agrataH+muKamaRqapam
agrato vilokya,agrataH+vilokya
agrato'karRike,agrataH+akarRike
agrato'grata,agrataH+agrata
agrapAdAvuttAnIkftya,agrapAdO+uttAnIkftya
agrimaM ca,agrimam+ca
agrimatadDarmapadenApi,agrimatadDarmapadena+api
agrimeti,agrima+iti
agrecA'vyavahitottaratvaniveSasya,agreca+avyavahitottaratvaniveSasya
aGoreRATa,aGoreRa+aTa
aNkamArohati,aNkam+Arohati
aNkitamatra,aNkitam+atra
aNkitamasti,aNkitam+asti
aNkitA navavaktrAdyEH,aNkitAH+navavaktrAdyEH
aNkurAdyutpattisamaye,aNkurAdi+utpattisamaye
aNkuSaM vAmake,aNkuSam+vAmake
aNkenAdAya,aNkena+AdAya
aNgadAdInaNgadAdyEH,aNgadAdIn+aNgadAdyEH
aNgado nivftya,aNgadaH+nivftya
aNgado rAvaRasaBAM,aNgadaH+rAvaRasaBAM
aNgamardaSca,aNgamardaH+ca
aNgarakzakASca,aNgarakzakAH+ca
aNgAnAYca,aNgAnAm+ca
aNgAnAmaNginA,aNgAnAm+aNginA
aNgIkAryatayetyAtra,aNgIkAryatayA+ityatra
aNgIkftaM paripAlayizyati,aNgIkftam+paripAlayizyati
aNgIkriyatAM suvarRaratnarASirUpaH,aNgIkriyatAm+suvarRaratnarASirUpaH
aNgulIyapraBftiBirmUrttipAn,aNgulIyapraBftiBiH+mUrttipAn
aNguzWaparvamAtrAste,aNguzWaparvamAtrAH+te
aNguzWenonnamayyAgre,aNguzWena+unnamayyAgre
aNgErArADya,aNgEH+ArADya
aNgErbIjena,aNgEH+bIjena
aNgrejaSCalaCadmanItinipuRo nityaM,aNgrejaSCalaCadmanItinipuRaH+nityaM
aNglaSabdo nahi,aNglaSabdaH+nahi
aNkuritamannaM,aNkuritam+annaM
aNkenAdAya,aNkena+AdAya
acaturvadano brahmA,acaturvadanaH+brahmA
acarAMSca,acarAn+ca
acintayacca,acintayat+ca
acintyaSca,acintyaH+ca
acirAteva,acirAt+eva
acirAd drakzyasi,acirAt+drakzyasi
acetanAdeva,acetanAt+eva
acEtanyAstamodriktAH,acEtanyAH+tamodriktAH
ajaYca,ajaM+ca
ajayattasya,ajayat+tasya
ajAtAdyAstadISvarAH,ajAtAdyAH+tadISvarAH
ajAnAdumA,ajAnAt+umA
ajASAvako'parAdDaH,ajASAvakaH+aparAdDaH
ajASAvako'pi,ajASAvakaH+api
ajASAvako'bravIt,ajASAvakaH+abravIt
ajASAvako'vAdIt,ajASAvakaH+avAdIt
